google_dir,data_file,curator_PersonName,curator_organization,curator_email,modification_date,author_PersonName,author_email,author_orcid_id,addit_contact_person,addit_contact_email,bibliographical_reference,data_doi,network,site_code,location_name,lat,long,datum,elevation,map,mat,clim_avg_yrs,tx_start,aspect_deg,aspect_class,slope,slope_shape,drainage_class,depth_water,parent_transport,parent_material,rock_chem,land_cover,eco_region,loc_texture_class,plant,lit_c,lit_n,lit_p,lit_cn,lit_lig,npp,anpp,bnpp,bnpp_notes,litterfall_anpp,agb,bgb,bgb_lowerdiam,bgb_upperdiam,bgb_type,bgb_notes,bgb_c,bgb_n,bgb_cn,wood_lit_c,align_1,align_2,loc_comments,time_series,gradient,experiments,control_id,number_treatments,merge_align,key_version,L1,L1_level,L2,L2_level,L3,L3_level,L4,L4_level,L5,L5_level,tx_L1,tx_L1_level,tx_L2,tx_L2_level,tx_L3,tx_L3_level,tx_L4,tx_L4_level,tx_L5,tx_L5_level,tx_L6,tx_L6_level,observation_date,veg_note_profile,lyr_c_tot,lyr_soc,lyr_soc_stock,lyr_loi,lyr_som_WalkleyBlack,lyr_n_tot,lyr_n_tot_stock,lyr_c_to_n,lyr_15n,lyr_13c,layer_top,layer_bot,layer_mid,hzn,bd_samp,bd_tot,ph_cacl,ph_h2o,ph_other,sand,silt,clay,coarse_frac,coarse_tot,profile_texture_class,caco3,Ca,Mg,K,Na,cat_exch,base_sum,cec_sum,ecec,bs,mbc_trans,mbn_raw,p_ex_1,p_ex_2,p_ex_3,p_ex_4,n_min,soil_taxon,soil_series,comment_profile,lyr_al_py,lyr_si_py,lyr_fe_ox,lyr_al_ox,lyr_si_ox,lyr_fe_dith,lyr_al_dith,lyr_si_dith,frc_scheme,frc_low_cutoff,frc_high_cutoff,frc_notes,frc_c_tot,frc_oc,frc_n_tot,frc_c_to_n,bd_methods_notes,layer_thick_calc,lyr_soc_stock_calc,lyr_n_stock_calc,control_sample
AND_10YR_CN,AND_DIRT_10YR_CN_raw,Derek Pierson,Oregon State University,piersond@oregonstate.edu,3/7/2018,Derek Pierson,piersond@oregonstate.edu,0000-0003-3413-1693,Kate Lajtha,lajthak@science.oregonstate.edu,Not yet published,NA,DIRT,AND,H.J. Andrews,44.231,-122.22,NA,531,2370,8.8,1973-2002,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,forest,temperate coniferous forest,loam,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YES,NO,YES,CTL,6,NO,2,2,Plot,NA,NA,NA,NA,NA,NA,NA,NA,DL,litter_manip,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,4.043,NA,NA,NA,0.189,NA,21.39153439,NA,NA,0,10,5,NA,0.82,NA,NA,5.2,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3315.26,154.98,FALSE
AND_10YR_CN,AND_DIRT_10YR_CN_raw,Derek Pierson,Oregon State University,piersond@oregonstate.edu,3/7/2018,Derek Pierson,piersond@oregonstate.edu,0000-0003-3413-1693,Kate Lajtha,lajthak@science.oregonstate.edu,Not yet published,NA,DIRT,AND,H.J. Andrews,44.231,-122.22,NA,531,2370,8.8,1973-2002,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,forest,temperate coniferous forest,loam,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YES,NO,YES,CTL,6,NO,2,17,Plot,NA,NA,NA,NA,NA,NA,NA,NA,DL,litter_manip,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,6.585,NA,NA,NA,0.224,NA,29.39732143,NA,NA,0,10,5,NA,0.82,NA,NA,5.2,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,5399.7,183.68,FALSE
AND_10YR_CN,AND_DIRT_10YR_CN_raw,Derek Pierson,Oregon State University,piersond@oregonstate.edu,3/7/2018,Derek Pierson,piersond@oregonstate.edu,0000-0003-3413-1693,Kate Lajtha,lajthak@science.oregonstate.edu,Not yet published,NA,DIRT,AND,H.J. Andrews,44.231,-122.22,NA,531,2370,8.8,1973-2002,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,forest,temperate coniferous forest,loam,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YES,NO,YES,CTL,6,NO,2,13,Plot,NA,NA,NA,NA,NA,NA,NA,NA,DL,litter_manip,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,3.615,NA,NA,NA,0.155,NA,23.32258065,NA,NA,0,10,5,NA,0.82,NA,NA,5.2,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2964.3,127.1,FALSE
AND_10YR_CN,AND_DIRT_10YR_CN_raw,Derek Pierson,Oregon State University,piersond@oregonstate.edu,3/7/2018,Derek Pierson,piersond@oregonstate.edu,0000-0003-3413-1693,Kate Lajtha,lajthak@science.oregonstate.edu,Not yet published,NA,DIRT,AND,H.J. Andrews,44.231,-122.22,NA,531,2370,8.8,1973-2002,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,forest,temperate coniferous forest,loam,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YES,NO,YES,CTL,6,NO,2,10,Plot,NA,NA,NA,NA,NA,NA,NA,NA,DW,litter_manip,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,5.735,NA,NA,NA,0.246,NA,23.31300813,NA,NA,0,10,5,NA,0.82,NA,NA,5.2,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,4702.7,201.72,FALSE
AND_10YR_CN,AND_DIRT_10YR_CN_raw,Derek Pierson,Oregon State University,piersond@oregonstate.edu,3/7/2018,Derek Pierson,piersond@oregonstate.edu,0000-0003-3413-1693,Kate Lajtha,lajthak@science.oregonstate.edu,Not yet published,NA,DIRT,AND,H.J. Andrews,44.231,-122.22,NA,531,2370,8.8,1973-2002,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,forest,temperate coniferous forest,loam,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YES,NO,YES,CTL,6,NO,2,16,Plot,NA,NA,NA,NA,NA,NA,NA,NA,DW,litter_manip,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,7.642,NA,NA,NA,0.169,NA,45.21893491,NA,NA,0,10,5,NA,0.82,NA,NA,5.2,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,6266.44,138.58,FALSE
AND_10YR_CN,AND_DIRT_10YR_CN_raw,Derek Pierson,Oregon State University,piersond@oregonstate.edu,3/7/2018,Derek Pierson,piersond@oregonstate.edu,0000-0003-3413-1693,Kate Lajtha,lajthak@science.oregonstate.edu,Not yet published,NA,DIRT,AND,H.J. Andrews,44.231,-122.22,NA,531,2370,8.8,1973-2002,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,forest,temperate coniferous forest,loam,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YES,NO,YES,CTL,6,NO,2,5,Plot,NA,NA,NA,NA,NA,NA,NA,NA,DW,litter_manip,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,4.765,NA,NA,NA,0.189,NA,25.21164021,NA,NA,0,10,5,NA,0.82,NA,NA,5.2,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3907.3,154.98,FALSE
AND_10YR_CN,AND_DIRT_10YR_CN_raw,Derek Pierson,Oregon State University,piersond@oregonstate.edu,3/7/2018,Derek Pierson,piersond@oregonstate.edu,0000-0003-3413-1693,Kate Lajtha,lajthak@science.oregonstate.edu,Not yet published,NA,DIRT,AND,H.J. Andrews,44.231,-122.22,NA,531,2370,8.8,1973-2002,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,forest,temperate coniferous forest,loam,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YES,NO,YES,CTL,6,NO,2,14,Plot,NA,NA,NA,NA,NA,NA,NA,NA,CTL,litter_manip,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,6.426,NA,NA,NA,0.115,NA,55.87826087,NA,NA,0,10,5,NA,0.82,NA,NA,5.2,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,5269.32,94.3,TRUE
AND_10YR_CN,AND_DIRT_10YR_CN_raw,Derek Pierson,Oregon State University,piersond@oregonstate.edu,3/7/2018,Derek Pierson,piersond@oregonstate.edu,0000-0003-3413-1693,Kate Lajtha,lajthak@science.oregonstate.edu,Not yet published,NA,DIRT,AND,H.J. Andrews,44.231,-122.22,NA,531,2370,8.8,1973-2002,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,forest,temperate coniferous forest,loam,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YES,NO,YES,CTL,6,NO,2,12,Plot,NA,NA,NA,NA,NA,NA,NA,NA,CTL,litter_manip,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,8.717,NA,NA,NA,0.284,NA,30.69366197,NA,NA,0,10,5,NA,0.82,NA,NA,5.2,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,7147.94,232.88,TRUE
AND_10YR_CN,AND_DIRT_10YR_CN_raw,Derek Pierson,Oregon State University,piersond@oregonstate.edu,3/7/2018,Derek Pierson,piersond@oregonstate.edu,0000-0003-3413-1693,Kate Lajtha,lajthak@science.oregonstate.edu,Not yet published,NA,DIRT,AND,H.J. Andrews,44.231,-122.22,NA,531,2370,8.8,1973-2002,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,forest,temperate coniferous forest,loam,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YES,NO,YES,CTL,6,NO,2,8,Plot,NA,NA,NA,NA,NA,NA,NA,NA,CTL,litter_manip,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,2.972,NA,NA,NA,0.221,NA,13.4479638,NA,NA,0,10,5,NA,0.82,NA,NA,5.2,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2437.04,181.22,TRUE
AND_10YR_CN,AND_DIRT_10YR_CN_raw,Derek Pierson,Oregon State University,piersond@oregonstate.edu,3/7/2018,Derek Pierson,piersond@oregonstate.edu,0000-0003-3413-1693,Kate Lajtha,lajthak@science.oregonstate.edu,Not yet published,NA,DIRT,AND,H.J. Andrews,44.231,-122.22,NA,531,2370,8.8,1973-2002,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,forest,temperate coniferous forest,loam,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YES,NO,YES,CTL,6,NO,2,69,Plot,NA,NA,NA,NA,NA,NA,NA,NA,NI,litter_manip,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,2.951,NA,NA,NA,0.149,NA,19.80536913,NA,NA,0,10,5,NA,0.82,NA,NA,5.2,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2419.82,122.18,FALSE
