Collar,Sample,DateTime,Exp_Flux_mmol_co2_m2_s,Date,Time,Seconds_after_midnight,Year
8A,A,2018-06-11T11:26:00Z,5.84,6/11/2018,11:26:00,41160,2018
8A,A,2018-06-11T11:36:00Z,7.45,6/11/2018,11:36:00,41760,2018
8A,A,2018-06-11T11:46:00Z,7.71,6/11/2018,11:46:00,42360,2018
8A,A,2018-06-11T11:51:00Z,6.75,6/11/2018,11:51:00,42660,2018
8A,A,2018-06-11T12:00:00Z,7.1,6/11/2018,12:00:00,43200,2018
8A,A,2018-06-11T12:10:00Z,7.28,6/11/2018,12:10:00,43800,2018
8A,A,2018-06-11T12:20:00Z,6.8,6/11/2018,12:20:00,44400,2018
8A,A,2018-06-11T12:30:00Z,7.66,6/11/2018,12:30:00,45000,2018
8A,A,2018-06-11T12:40:00Z,7.72,6/11/2018,12:40:00,45600,2018
8A,A,2018-06-11T12:50:00Z,7.74,6/11/2018,12:50:00,46200,2018
8A,A,2018-06-11T13:00:00Z,7.62,6/11/2018,13:00:00,46800,2018
8A,A,2018-06-11T13:10:00Z,7.65,6/11/2018,13:10:00,47400,2018
8A,A,2018-06-11T13:20:00Z,7.7,6/11/2018,13:20:00,48000,2018
8A,A,2018-06-11T13:30:00Z,8.19,6/11/2018,13:30:00,48600,2018
8A,A,2018-06-11T13:40:00Z,8,6/11/2018,13:40:00,49200,2018
8A,A,2018-06-11T13:50:00Z,8.16,6/11/2018,13:50:00,49800,2018
8A,A,2018-06-11T14:00:00Z,8.03,6/11/2018,14:00:00,50400,2018
8A,A,2018-06-11T14:10:00Z,8.08,6/11/2018,14:10:00,51000,2018
8A,A,2018-06-11T14:20:00Z,8.8,6/11/2018,14:20:00,51600,2018
8A,A,2018-06-11T14:30:00Z,8.22,6/11/2018,14:30:00,52200,2018
8A,A,2018-06-11T14:40:00Z,7.51,6/11/2018,14:40:00,52800,2018
8A,A,2018-06-11T14:50:00Z,7.36,6/11/2018,14:50:00,53400,2018
8A,A,2018-06-11T15:00:00Z,7.61,6/11/2018,15:00:00,54000,2018
8A,A,2018-06-11T15:10:00Z,7.55,6/11/2018,15:10:00,54600,2018
8A,A,2018-06-11T15:20:00Z,8.07,6/11/2018,15:20:00,55200,2018
8A,A,2018-06-11T15:30:00Z,8.97,6/11/2018,15:30:00,55800,2018
8A,A,2018-06-11T15:40:00Z,9.52,6/11/2018,15:40:00,56400,2018
8A,A,2018-06-11T15:50:00Z,8.59,6/11/2018,15:50:00,57000,2018
8A,A,2018-06-11T16:00:00Z,8.78,6/11/2018,16:00:00,57600,2018
8A,A,2018-06-11T16:10:00Z,8.48,6/11/2018,16:10:00,58200,2018
8A,A,2018-06-11T16:20:00Z,7.95,6/11/2018,16:20:00,58800,2018
8A,A,2018-06-11T16:30:00Z,7.59,6/11/2018,16:30:00,59400,2018
8A,A,2018-06-11T16:40:00Z,8.66,6/11/2018,16:40:00,60000,2018
8A,A,2018-06-11T16:50:00Z,8.95,6/11/2018,16:50:00,60600,2018
8A,A,2018-06-11T17:00:00Z,9.33,6/11/2018,17:00:00,61200,2018
8A,A,2018-06-11T17:10:00Z,8.44,6/11/2018,17:10:00,61800,2018
8A,A,2018-06-11T17:20:00Z,8.52,6/11/2018,17:20:00,62400,2018
8A,A,2018-06-11T17:30:00Z,8.43,6/11/2018,17:30:00,63000,2018
8A,A,2018-06-11T17:40:00Z,8.92,6/11/2018,17:40:00,63600,2018
8A,A,2018-06-11T17:50:00Z,8.4,6/11/2018,17:50:00,64200,2018
8A,A,2018-06-11T18:00:00Z,8.92,6/11/2018,18:00:00,64800,2018
8A,A,2018-06-11T18:10:00Z,8.82,6/11/2018,18:10:00,65400,2018
8A,A,2018-06-11T18:20:00Z,8.75,6/11/2018,18:20:00,66000,2018
8A,A,2018-06-11T18:30:00Z,8.22,6/11/2018,18:30:00,66600,2018
8A,A,2018-06-11T18:40:00Z,8.55,6/11/2018,18:40:00,67200,2018
8A,A,2018-06-11T18:50:00Z,7.68,6/11/2018,18:50:00,67800,2018
8A,A,2018-06-11T19:00:00Z,8.67,6/11/2018,19:00:00,68400,2018
8A,A,2018-06-11T19:10:00Z,8.21,6/11/2018,19:10:00,69000,2018
8A,A,2018-06-11T19:20:00Z,8.76,6/11/2018,19:20:00,69600,2018
8A,A,2018-06-11T19:30:00Z,8.55,6/11/2018,19:30:00,70200,2018
8A,A,2018-06-11T19:40:00Z,8.74,6/11/2018,19:40:00,70800,2018
8A,A,2018-06-11T19:50:00Z,9.54,6/11/2018,19:50:00,71400,2018
8A,A,2018-06-11T20:00:00Z,7.94,6/11/2018,20:00:00,72000,2018
8A,A,2018-06-11T20:10:00Z,8.62,6/11/2018,20:10:00,72600,2018
8A,A,2018-06-11T20:20:00Z,8.98,6/11/2018,20:20:00,73200,2018
8A,A,2018-06-11T20:30:00Z,8.91,6/11/2018,20:30:00,73800,2018
8A,A,2018-06-11T20:40:00Z,8.67,6/11/2018,20:40:00,74400,2018
8A,A,2018-06-11T20:50:00Z,8.58,6/11/2018,20:50:00,75000,2018
8A,A,2018-06-11T21:00:00Z,8.01,6/11/2018,21:00:00,75600,2018
8A,A,2018-06-11T21:10:00Z,8.23,6/11/2018,21:10:00,76200,2018
8A,A,2018-06-11T21:20:00Z,7.7,6/11/2018,21:20:00,76800,2018
8A,A,2018-06-11T21:30:00Z,7.87,6/11/2018,21:30:00,77400,2018
8A,A,2018-06-11T21:40:00Z,8.18,6/11/2018,21:40:00,78000,2018
8A,A,2018-06-11T21:50:00Z,7.78,6/11/2018,21:50:00,78600,2018
8A,A,2018-06-11T22:00:00Z,7.57,6/11/2018,22:00:00,79200,2018
8A,A,2018-06-11T22:10:00Z,8.07,6/11/2018,22:10:00,79800,2018
8A,A,2018-06-11T22:20:00Z,7.18,6/11/2018,22:20:00,80400,2018
8A,A,2018-06-11T22:30:00Z,7.26,6/11/2018,22:30:00,81000,2018
8A,A,2018-06-11T22:40:00Z,6.98,6/11/2018,22:40:00,81600,2018
8A,A,2018-06-11T22:50:00Z,6.96,6/11/2018,22:50:00,82200,2018
8A,A,2018-06-11T23:00:00Z,6.79,6/11/2018,23:00:00,82800,2018
8A,A,2018-06-11T23:10:00Z,6.97,6/11/2018,23:10:00,83400,2018
8A,A,2018-06-11T23:20:00Z,6.74,6/11/2018,23:20:00,84000,2018
8A,A,2018-06-11T23:30:00Z,6.69,6/11/2018,23:30:00,84600,2018
8A,A,2018-06-11T23:40:00Z,6.29,6/11/2018,23:40:00,85200,2018
8A,A,2018-06-11T23:50:00Z,6.65,6/11/2018,23:50:00,85800,2018
8A,A,2018-06-12T00:00:00Z,6.26,6/12/2018,0:00:00,0,2018
8A,A,2018-06-12T00:10:00Z,6.18,6/12/2018,0:10:00,600,2018
8A,A,2018-06-12T00:20:00Z,6.08,6/12/2018,0:20:00,1200,2018
8A,A,2018-06-12T00:30:00Z,6.01,6/12/2018,0:30:00,1800,2018
8A,A,2018-06-12T00:40:00Z,5.65,6/12/2018,0:40:00,2400,2018
8A,A,2018-06-12T00:50:00Z,5.93,6/12/2018,0:50:00,3000,2018
8A,A,2018-06-12T01:00:00Z,5.85,6/12/2018,1:00:00,3600,2018
8A,A,2018-06-12T01:10:00Z,5.87,6/12/2018,1:10:00,4200,2018
8A,A,2018-06-12T01:20:00Z,5.48,6/12/2018,1:20:00,4800,2018
8A,A,2018-06-12T01:30:00Z,5.74,6/12/2018,1:30:00,5400,2018
8A,A,2018-06-12T01:40:00Z,5.38,6/12/2018,1:40:00,6000,2018
8A,A,2018-06-12T01:50:00Z,5.41,6/12/2018,1:50:00,6600,2018
8A,A,2018-06-12T02:00:00Z,5.43,6/12/2018,2:00:00,7200,2018
8A,A,2018-06-12T02:10:00Z,5.53,6/12/2018,2:10:00,7800,2018
8A,A,2018-06-12T02:20:00Z,5.29,6/12/2018,2:20:00,8400,2018
8A,A,2018-06-12T02:30:00Z,5,6/12/2018,2:30:00,9000,2018
8A,A,2018-06-12T02:40:00Z,4.89,6/12/2018,2:40:00,9600,2018
8A,A,2018-06-12T02:50:00Z,5.11,6/12/2018,2:50:00,10200,2018
8A,A,2018-06-12T03:00:00Z,5.09,6/12/2018,3:00:00,10800,2018
8A,A,2018-06-12T03:10:00Z,4.95,6/12/2018,3:10:00,11400,2018
8A,A,2018-06-12T03:20:00Z,5.34,6/12/2018,3:20:00,12000,2018
8A,A,2018-06-12T03:30:00Z,5.07,6/12/2018,3:30:00,12600,2018
8A,A,2018-06-12T03:40:00Z,4.88,6/12/2018,3:40:00,13200,2018
8A,A,2018-06-12T03:50:00Z,4.8,6/12/2018,3:50:00,13800,2018
8A,A,2018-06-12T04:00:00Z,4.98,6/12/2018,4:00:00,14400,2018
8A,A,2018-06-12T04:10:00Z,4.87,6/12/2018,4:10:00,15000,2018
8A,A,2018-06-12T04:20:00Z,4.74,6/12/2018,4:20:00,15600,2018
8A,A,2018-06-12T04:30:00Z,4.92,6/12/2018,4:30:00,16200,2018
8A,A,2018-06-12T04:40:00Z,4.76,6/12/2018,4:40:00,16800,2018
8A,A,2018-06-12T04:50:00Z,4.76,6/12/2018,4:50:00,17400,2018
8A,A,2018-06-12T05:00:00Z,4.83,6/12/2018,5:00:00,18000,2018
8A,A,2018-06-12T05:10:00Z,4.58,6/12/2018,5:10:00,18600,2018
8A,A,2018-06-12T05:20:00Z,4.62,6/12/2018,5:20:00,19200,2018
8A,A,2018-06-12T05:30:00Z,4.57,6/12/2018,5:30:00,19800,2018
8A,A,2018-06-12T05:40:00Z,4.49,6/12/2018,5:40:00,20400,2018
8A,A,2018-06-12T05:50:00Z,4.42,6/12/2018,5:50:00,21000,2018
8A,A,2018-06-12T06:00:00Z,4.41,6/12/2018,6:00:00,21600,2018
8A,A,2018-06-12T06:10:00Z,4.42,6/12/2018,6:10:00,22200,2018
8A,A,2018-06-12T06:20:00Z,4.46,6/12/2018,6:20:00,22800,2018
8A,A,2018-06-12T06:30:00Z,4.3,6/12/2018,6:30:00,23400,2018
8A,A,2018-06-12T06:40:00Z,4.3,6/12/2018,6:40:00,24000,2018
8A,A,2018-06-12T06:50:00Z,4.42,6/12/2018,6:50:00,24600,2018
8A,A,2018-06-12T07:00:00Z,4.16,6/12/2018,7:00:00,25200,2018
8A,A,2018-06-12T07:10:00Z,4.04,6/12/2018,7:10:00,25800,2018
8A,A,2018-06-12T07:20:00Z,4.35,6/12/2018,7:20:00,26400,2018
8A,A,2018-06-12T07:30:00Z,3.94,6/12/2018,7:30:00,27000,2018
8A,A,2018-06-12T07:40:00Z,4.4,6/12/2018,7:40:00,27600,2018
8A,A,2018-06-12T07:50:00Z,4.23,6/12/2018,7:50:00,28200,2018
